Sender,Message
Sowmya,Inka edupe
SINHA,"Ippudey evaro story lo chadeva.,... 🤭"
Sowmya,😅
Sowmya,Konni konni vadhileyakoodadhu
SINHA,Haha avunu le
SINHA,Konni vadalali ani anukona vadala leymu
Sowmya,Kadhaaaa
Sowmya,Aa story choodagane nachindhi
SINHA,Hmm nyc
Sowmya,CN emanna chesava
SINHA,Lab lo cheysindhey ippudu inka start cheyale
Sowmya,Ohoo lab lo chesavaaa
SINHA,Ha
Sowmya,Naku emm ravatlaa
Sowmya,Time emo ayipothundhi
Sowmya,Bhayam thappa em ravatla
SINHA,Sowmya vuruko deniki bayam
Sowmya,Debika???
Sowmya,Denika*
Sowmya,Nakem raledhu sinhaa
Sowmya,Try chesina ravatla 😑
SINHA,C/Java/c++/python
Sowmya,Character stuffing okkate vachindhi
SINHA,Adhi Baga interest neeku?
Sowmya,C
Sowmya,Anukunta
SINHA,C interest aa... 😐
SINHA,Saripoyindhi
Sowmya,Em aindhi
SINHA,C loney vunayi ga programs velli prepare avvu mari
Sowmya,Nv Anni chinna chinnavi chesthav kadhaa😅
Sowmya,Haa adhe Anni sagam sagam a vasthunnai
SINHA,Hmm ok wait
Sowmya,Hmm
Sowmya,Em chesthunnav sinha
SINHA,WAIT
Sowmya,Okkatanna pampisthe nerchukuntaa
SINHA,WAIT
Sowmya,Sare
SINHA,<Media omitted>
SINHA,Extract cheysi jupyter lo upload cheysi run cheyi
Sowmya,Ok
Sowmya,I'm sooooooo sorry to sayy
Sowmya,Chala kashtam ga vundhi
Sowmya,C lo chalaaaa better
SINHA,First program ki ala fix aipoku
SINHA,Migatavi easy ney
Sowmya,Naku ekkatledhu sinhaaa
Sowmya,Repu anthe sangathulu inkaa
Sowmya,C lo choosthe...pai paina anna edokati rayochu
SINHA,Hmm ok ur wish
Sowmya,Nv python lo rasthava
SINHA,Ha
Sowmya,Saree
Sowmya,<Media omitted>
Sowmya,Bagundhi idhi
SINHA,Tnx...
SINHA,Like share and subscribe
Sowmya,😅
Sowmya,Hahaha
Sowmya,Like ok share kooda ok
SINHA,Alochinchi chepta.... 🤔
Sowmya,Hmm
Sowmya,Hamming code
Sowmya,Chesava
SINHA,Leydhu sowmya
Sowmya,Ok
Sowmya,Stop and wait
Sowmya,Goback N
Sowmya,Selective repeat
Sowmya,This message was deleted
Sowmya,Veetillo?
Sowmya,Good night
SINHA,Sowmyaaa
SINHA,Vunnava
SINHA,Songs peytukona... Vinipinchale notification
Sowmya,Happy journey sinha
Sowmya,Prayer meetings vunnai
Sowmya,Monday nunchi exams gaa
SINHA,Oh ok
SINHA,Veltuna sowmyaa
Sowmya,Jagratha😅
SINHA,Ha ok
Sowmya,Em chesthunnav sinha
SINHA,null
Sowmya,Aha...
SINHA,Haaa
SINHA,Nenu dj veltunam
Sowmya,Oho
SINHA,Hmm
SINHA,Ame cheystunav enti
Sowmya,Ippude prayer ayipoindhi
SINHA,Ok
Sowmya,Inka entha time paduthundhi velladaniki
SINHA,4 aipotundhi Sowmya
Sowmya,Oho
SINHA,Ha
Sowmya,Malli eppudu return avuthav sinha
SINHA,Monday mrng vasta
Sowmya,Kadhu
Sowmya,Akkada
Sowmya,Sunday night start avuthava
SINHA,Haa avunu
Sowmya,Abboo
Sowmya,Aa night journey chesii
SINHA,Hmm mrng malli exam
Sowmya,Malli Monday exam ki vasthava
Sowmya,🥲
SINHA,Mrng eh na?
Sowmya,Afternoon le exam
SINHA,Ha nyc nyc
Sowmya,Intlo time vundadhu ga
Sowmya,Chadavadaniki
SINHA,Hmm chudali
SINHA,Manam elaano night persons eh ga
Sowmya,😅
Sowmya,Dwdm presentation
Sowmya,Aina repu nee chance radhu emo le
SINHA,Ame?
Sowmya,22 varaku ayipoindhi
Sowmya,Hoo 32 a kadha
Sowmya,May be chances vunnai
SINHA,Haa marchipoyava.... 🙄
Sowmya,😅
Sowmya,Kadhulee
SINHA,Vuna leykapoyina cheppeysta
SINHA,Gurtu chei
Sowmya,Tommorow na?
SINHA,Ha
Sowmya,Ppt ready chesava
Sowmya,😲
Sowmya,Nenu repu class time ki clg lo vunta
Sowmya,Cheppanu repu
SINHA,Respond avvakapothey call cheysey
SINHA,Clg ki deniki
Sowmya,CSP dhi anta maa team ki work vundhi anta
Sowmya,Andharini ramannaru maa team
Sowmya,Evaraina lift chesthee 🙃
SINHA,Parleydhu matladr
SINHA,Ok ok
Sowmya,😦
SINHA,😅
Sowmya,Naku phone matlade alavatu ledhu
SINHA,Sare cheyaku le
SINHA,Nene chusukonta
Sowmya,Nenu chepthanu le oka vela choosthe
Sowmya,Neeku Baga alavatu kadha
SINHA,Vadhu le Sowmya... Nek enduku eebandhi
Sowmya,Ibhandha sarele
Sowmya,Bye
Sowmya,Nidhrosthundhi
SINHA,Ha ok
Sowmya,Sinha
SINHA,Ha sowmya
Sowmya,Andhuloo
Sowmya,Mee parents vunnara
SINHA,Mundhu kirchonadhi maa parents eh
Sowmya,White and white kadhaa
SINHA,White dress
Sowmya,Haa
Sowmya,Nenu cheppanu aditya ki
SINHA,Ha
Sowmya,Aditya emo andhulo leru anukunta ani annadu
SINHA,<Media omitted>
Sowmya,Nv Mee father lane vunnav
SINHA,Haha.. tnq
Sowmya,Neeku left lo Mee thammuda?
SINHA,Ha avunu
Sowmya,Ok
SINHA,Prepare ayyara
Sowmya,Ledhuu
Sowmya,Ayyara na
Sowmya,Ento kanii roju antha nidhra nee
SINHA,Ha nv Dinesh aditya
Sowmya,Start chesthe nidhra
Sowmya,Ohoo
SINHA,Ohoo ponile Naku thodu vunav ga... Rep afternoon start cheydam le inkaa
Sowmya,Ippuud choodham ani anukunna
Sowmya,May be em chadavanu emo
SINHA,Hmm sare sare chudu mari
Sowmya,Hmm
Sowmya,Nv..
Sowmya,Nenu cheppina curries
Sowmya,Em taste cheyala kadhaa
SINHA,null
SINHA,Aasalu non veg thappa... No veg ikkada
Sowmya,Ahaa
Sowmya,Ardham kala
Sowmya,Ok ardham aindhii
SINHA,Haa
Sowmya,Ha mari
SINHA,Chicken with curd ithy thinna le
Sowmya,Chicken vundhi gaa
SINHA,😅... Thina thina
Sowmya,Nijam cheppu
Sowmya,Nenu em anukonu
SINHA,Thina nijanga
Sowmya,Bagundha
SINHA,Ha bagundhi
Sowmya,Sare sare
SINHA,Haa
Sowmya,Laptop open chesi pettukunnav
SINHA,Avunu
Sowmya,Chaduvuko aithe
SINHA,Hmm
Sowmya,Good night
SINHA,Ha gud night
Sowmya,Ekkada
SINHA,Hostel lo
SINHA,Just reached
Sowmya,Okkk
SINHA,Leychava appudey
Sowmya,Cheppanu ga
Sowmya,4 ki church vuntadhi roju anii
SINHA,Oh ok ok
SINHA,Ippudu ekkada
Sowmya,Intloo
Sowmya,Ayipoindhi
SINHA,Ok
SINHA,Chadevava
Sowmya,Padukuntava
SINHA,Ledhu chadavutuna
Sowmya,Night 4rth unit lo naku imp annavi choosanu
Sowmya,Inka 3rd and 5th choodali
SINHA,Hmm ok
Sowmya,Journey lo padukunnava
SINHA,Ha padukona
Sowmya,Ok
Sowmya,Mari
SINHA,Ha
SINHA,Sowmya...
Sowmya,Haa
SINHA,Ela rasav
Sowmya,Parvaledhu
Sowmya,Nv
SINHA,Ha good
SINHA,1st mid kana Bane rasa
SINHA,Aasalu kanipinchaleydhu inaa
Sowmya,Hmm
Sowmya,Choosthe kanipistha
Sowmya,Aditya valla daggare half n hour koorchunna
SINHA,Oh...
Sowmya,Ha...
SINHA,Nenu late ga vachale
Sowmya,Kothaga chepthaventi sinha nakuu
SINHA,Ha... 😅
Sowmya,Naku kanipinchav le...green shirt
SINHA,Ha nv backside andukey kanipinchale
Sowmya,Ha
Sowmya,Lights off chesanu padukundham ani
Sowmya,Last time oka sari phone choodham ani
Sowmya,Open chesa
SINHA,Haa
Sowmya,Nv msg chesav
Sowmya,Inka lights on chesukoni koorchunna
SINHA,Mari mrng eh na preparation antha
Sowmya,Ha
Sowmya,Ippdaithee
Sowmya,Mng 4 lechanu
Sowmya,Nidhra saripola
Sowmya,12 to 4 a sleep
SINHA,Hmm sare sare paduko mari
Sowmya,Andhuke ee roju mundhe padukundham Ani
Sowmya,Vunna kani nv matladedhi em vundadhu
SINHA,hmm?
Sowmya,Ntg
Sowmya,Em ledh
SINHA,hmm sare ithy paduko
Sowmya,Ok
Sowmya,Good night 🥱
SINHA,Sowmya....
Sowmya,Unit 5 aa
SINHA,Ha...
Sowmya,Nenu pettanu
SINHA,Pettava?
Sowmya,Time pattidhi
SINHA,😲
SINHA,Give yamini number I ask her
Sowmya,🤣🤣
SINHA,🧐
Sowmya,Ichinandhuku nannu
Sowmya,Idharini thannidhi
SINHA,Don't waste time... Give Fast
Sowmya,🙄
Sowmya,Over action cheyamaku
SINHA,I want now
Sowmya,Ha??????
Sowmya,Bagundhi andi
SINHA,Tnq... 😌
Sowmya,Endhuku tq
SINHA,Fast
Sowmya,Repu evening pampistha le
Sowmya,This message was deleted
Sowmya,This message was deleted
SINHA,😏😏
Sowmya,Enti
SINHA,Evarini inaa aadugutaru le u carry on
Sowmya,Haa mari nenu anthe choodali
Sowmya,<Media omitted>
SINHA,Bye cheppaleydhu aana... 🙄
SINHA,Tnq... 🤗
Sowmya,Don't waste time aaa🙄
SINHA,Ayyo sowmya..... 😅
Sowmya,Ayyo Sowmya ledhu emm Sowmya ledhu
Sowmya,Chaduvuko po
Sowmya,Don't waste time
SINHA,Sare nv kuda baga prepare avvu
Sowmya,Entiiiii
Sowmya,Time waste chesukoku sinha
Sowmya,Po
SINHA,Ok padukoni leychachaduvutaa
SINHA,sowmyaa
Sowmya,Hi
SINHA,Prepare avutunava
Sowmya,Ippude lechindhii
SINHA,Oh avuna
SINHA,Chaduvu mari
Sowmya,Hmm
Sowmya,Oorake msg chesava
SINHA,Haaa
Sowmya,Nijama
SINHA,Avunu ... 🙄
Sowmya,Ok ok
Sowmya,Haa
Sowmya,Hlo
Sowmya,Edokati cheppali kadha
SINHA,Ha just ippudey leychanu
SINHA,Msg vache lopu nvey cheysav
SINHA,Thinnava
Sowmya,Inka cheppu
Sowmya,Ha thinna
SINHA,hm....eevala velava church ki
Sowmya,No
SINHA,y
Sowmya,Nidhra poya
Sowmya,Nidhra saripovatla
Sowmya,Inka maa mother kooda lrpatledhu
SINHA,Oh... 😯
Sowmya,Okkare velthunnaru
Sowmya,Nijam 😅
SINHA,Night 12 varaku vuntey ame saripotundhi mari
Sowmya,Ee roju aithe 10 hrs padukunna
Sowmya,Ninna 11 a anukunta
SINHA,<Media omitted>
SINHA,Nammeysa
Sowmya,Nijammm
Sowmya,Sare 12 varaku vuntee
Sowmya,11:30 ki nv msg chesthee reply iche daniga
Sowmya,Naki adhi kooda saripoidhi😂
SINHA,Hmm eechey danivi
Sowmya,Mari
Sowmya,Night
Sowmya,Padukune mundhu
SINHA,Sare antha twaraga padukonappudu leyche vellasindhi
Sowmya,YouTube lo oka short choosa dance video
SINHA,Ohh
Sowmya,Bagundhi adhi
Sowmya,Inka lechi 2 steps vesi padukunna🤣🤣🤣
Sowmya,Inka..dance meedha dream
SINHA,Saripoyindhi.... 😂
Sowmya,Same dream 2 times vachindhi
Sowmya,Okasari mid night inkokasari
SINHA,Hmm okk
SINHA,Kani aa time lo
SINHA,Evaru levaleyda?
Sowmya,No
Sowmya,Song petti vesthama enti
Sowmya,Choosanu...
SINHA,Leystey paapam bayapadeyvaru le.... 😂
Sowmya,Aa steps edho practice chesa
Sowmya,Ala vesthe manasu kastha prashantanga vuntadhi😂
Sowmya,🤣👏👏🤣
Sowmya,https://youtube.com/shorts/IgozW8WiSm0?feature=share
Sowmya,Idhigo idhe
SINHA,🙌👌👌
SINHA,Bagundhi
Sowmya,Hmmm
Sowmya,Nakooda nachindhi
SINHA,Night nv leychi veyadam lo thappu leydhu le
Sowmya,😅😅
SINHA,Sowmya.....
Sowmya,Hi
SINHA,Enti busy aa?
Sowmya,No
Sowmya,Adenti fast ga ne reply ichanu kadha
Sowmya,Busy antave
SINHA,Ha sry sry
Sowmya,Ha?
SINHA,Sry= sorry
Sowmya,😂
Sowmya,Hahah
SINHA,Adhey data science program book amaiana vundha?
Sowmya,Ledhu
SINHA,Mee frnds lo evaraina?
Sowmya,Valla daggara Aina endhuku vuntai
Sowmya,Endhuku
Sowmya,Project ka
SINHA,Ha avunu
Sowmya,Ohoo
Sowmya,Nenu inka start kooda cheyala
SINHA,Naku last ki vachindhi
Sowmya,Hmm kani
SINHA,Haa
Sowmya,Intha deergam theesinappude anukunna
Sowmya,Sarele rasuko
SINHA,😐🙂
SINHA,Present rayatle leydhu le
SINHA,Type cheystuna
Sowmya,Aina busy gane vunnatlunnav sinha
Sowmya,🤨
SINHA,Busy antey?
Sowmya,Edho work andi
SINHA,Haha.... Nv sem preparation aa?
Sowmya,Ledhu
SINHA,Hm mari
Sowmya,Em cheyatledhu sinhaa
SINHA,Oh
SINHA,Naa Day antha night eh gadipeystuna nenu... Mrng leychey sariki ame vundatle
Sowmya,12 ki lesthunnava
SINHA,Hmm
Sowmya,👏👏👏
SINHA,😅😅
Sowmya,Adhedhoo...
Sowmya,Shift cheyochuga
Sowmya,Night padukoni
Sowmya,Day time lo work chesuko
SINHA,Try cheyali
Sowmya,Adhi avvadhamma antava
SINHA,Haha anthe ... 😂
Sowmya,Hmm
Sowmya,Monday choopisthunnava project
SINHA,Enti.... 😐
SINHA,Monday eh na
Sowmya,Emo sinha nenu aithe lyte
Sowmya,Inka project a decide chesukola
Sowmya,Nannu inspiration ga theesukoni cool
SINHA,Saripoyindhi adigithey chepta ga
SINHA,seniors evaru inaa  telisina valu vunara?
Sowmya,Nv panilo vuntav ga
Sowmya,Andhuke adagadaluchu kola
Sowmya,Leru
Sowmya,A?
SINHA,Vallu already cheysinavi vunatayi ga ani
Sowmya,Oho
SINHA,Ufffooo
Sowmya,Mohamatam 😂
SINHA,😲
Sowmya,Nijam
SINHA,Ok ok wait for tonight
SINHA,Avunu le telusu
Sowmya,Parvaledhule sinha...needhi complete chesuko
SINHA,Hmm cheysta cheysta
Sowmya,Hmm
Sowmya,Hlo
Sowmya,Good night
SINHA,Ame Sowmya fast ga sleeping?
Sowmya,Em panulu lev
SINHA,Ohoo
Sowmya,Ante..vunnai 😂
SINHA,Roju edho panulu vunteney vunatu .... 🙄
SINHA,Anthey ga
Sowmya,Ante...😆
SINHA,Navvaku serious... 🧐
Sowmya,Ee roju inka em cheyalo ardham avvatla
Sowmya,Ippati varaku ssc chsl oka question paper lo half chesa
Sowmya,😐
SINHA,Ssc chsl antey?
Sowmya,SSC-state selection commission
Sowmya,Central jobs
Sowmya,Andhulo chsl okati
SINHA,Ohhooo nyc
SINHA,Apply cheysav Jan lo exam ki?
Sowmya,Chsl notifications paddai
Sowmya,Adhee chedham ani
Sowmya,Oka try vedham ani
SINHA,Hmm nyc ... 👏
SINHA,Best of Luck sowmyaa
Sowmya,Tq😂
Sowmya,Nenu serious em rayatla
Sowmya,Okasari choodham ani
SINHA,..
Sowmya,Enti nuvvu asalu
SINHA,Nenu serious ganey cheppa... 😌
Sowmya,Sare nenu serious matladana
SINHA,🙄... Vadhule
Sowmya,Adhi..
Sowmya,Ala vundali
SINHA,Naku navvocheysindhi... 😅
Sowmya,Nakooda le
SINHA,Sare prayer cheysukontunva?
Sowmya,Em anukuntunnav
Sowmya,Nv
SINHA,Ame adega nenu
Sowmya,🤣
Sowmya,Are nv cheppu
Sowmya,Nv em anukuntunnavo
SINHA,Adegina daniki cheppu
Sowmya,😐
SINHA,Cheysukontunava leyda
Sowmya,Appudappudu
Sowmya,Daily aithe ledhu
SINHA,Sare ame cheyalo teliyatle antunav ga
SINHA,Cheysukoni paduko
SINHA,Vellu
Sowmya,Haaa?
SINHA,Ha
SINHA,Order eh
Sowmya,Konchem sepu matladu sinha
SINHA,Sare cheppu
Sowmya,😂🤣
Sowmya,Em ledhu
SINHA,Ithy velli chaduvukoni prayer cheysukoni paduko
Sowmya,😒
SINHA,Eebandhi padutunava Sowmya... 😐
Sowmya,Idhi..prayer chesukomannandhuku kadhule
SINHA,Sare nee eestam
SINHA,Cheppanu le
Sowmya,Kadhu kadhu 😂
Sowmya,🙄
Sowmya,...
Sowmya,Pakka padukune mundhu prayer chese padukunta le
SINHA,Mari?
Sowmya,Po po ani antunnav kadha sinhaaa
SINHA,Ayyo somwyaa
Sowmya,Sare sinha pothan a
Sowmya,Inka ranu
SINHA,Ha Sowmya okati cheppali
SINHA,Idea ela vundho cheppu
Sowmya,Good night aa
SINHA,Last time semi Christmas ki per head 50/- eecharu gurtondha?
Sowmya,Adenti 200 kadha
SINHA,Adhi mana varaku but outside students 50/- adegam
Sowmya,Hmm
Sowmya,20 anukunta
SINHA,Hmm adhey ...esari vallani adhi kuda aadaga kudadhu ani fix ayyam
Sowmya,Oho
SINHA,Last time dani valla kontha bad ayyindhi anta
Sowmya,Sare aa roju em chesthunnaru
SINHA,Mundhu cheppeydhi vinu
SINHA,So class lo Christian background vunna vallaney aadugudam ane fix ayyam
Sowmya,Hmm
SINHA,Mana class lo ala 10 members vacharu boys
Sowmya,Abboo
SINHA,Ha ninnu kuda add cheyali anukontuna ame antav
Sowmya,Inka cheyi
SINHA,Boys lo kadhey... Members lo😅
Sowmya,Adhi kooda aduguthunnava 🤣
Sowmya,😐
SINHA,Haa....
SINHA,So adhi plan
Sowmya,Hmm
SINHA,Hmm
Sowmya,Kani nenu aithe aa roju ranu
SINHA,Sarle appudu choodam
Sowmya,Hmm
SINHA,Vastav le
Sowmya,Ranu
Sowmya,Ante
Sowmya,Vasthav le antav😅
SINHA,Nenu vasta kavalnte drop cheyadaniki... 😁
Sowmya,🤭
Sowmya,Em parvaledhu
SINHA,Ufffooo
Sowmya,😅
SINHA,Sare vellu paduko inkaa
Sowmya,"Vellu, po"
Sowmya,Ivi kakunda inka em rava neeku
SINHA,Po ani appudu anna nenu
Sowmya,Analedha😂
SINHA,Leydhu
Sowmya,Naku annatle vundhi
SINHA,Hmm
SINHA,But annale appudu
Sowmya,Avunu
SINHA,Ha
Sowmya,Sare going
SINHA,Hmm gud night
Sowmya,Thank you
SINHA,Welcome
Sowmya,I am not coming
SINHA,😂
SINHA,Sarele
Sowmya,Don't laugh
Sowmya,I am going
Sowmya,Don't come again
SINHA,Ok ok.. 😂😂
Sowmya,🙏
SINHA,Deniki eedhi ippudu
Sowmya,Navvuthunnav ga
SINHA,Nv ravadhu antey nenu maneystana ani... 😅
Sowmya,Ha manesthav
SINHA,Nenu mananey
Sowmya,Aithee Nene manestga
SINHA,Sare choodam
Sowmya,Ee mata anamaku
Sowmya,Nannu rechagottinatlu vuntadhi
SINHA,Sare choodam
Sowmya,👊
SINHA,Sare choodam
SINHA,Sare choodam
SINHA,Sare choodam
SINHA,Sare choodam
Sowmya,Sare choodu
Sowmya,Po
Sowmya,Abba.......
Sowmya,Sare choodu
Sowmya,Inka neee jolike ranu po
SINHA,Choosta... 😂
Sowmya,Chooduu
Sowmya,Good bye
SINHA,😐
SINHA,Really
Sowmya,Parledhule choodu
SINHA,Really?
Sowmya,How could that possible sinha🤭🤣
SINHA,Adhey ga.... 😂😂
Sowmya,Chee chee
SINHA,Sowmya... Sowmya... Sowmya... 😂
Sowmya,But I can
SINHA,Ok ok best of luck
Sowmya,Ha?
Sowmya,Ippudenti nv
SINHA,..
Sowmya,Matladakunda vundamamtav
Sowmya,Anthe ga
Sowmya,Sare mari aithee
SINHA,Nenu ame annale
Sowmya,Enni days vundamtav cheppu
Sowmya,Sare sare
Sowmya,Let me try
SINHA,Btech ayye varaku
Sowmya,Cheppu cheppu
Sowmya,😳🥺
Sowmya,Saripoindhi po
SINHA,😂
SINHA,Ayyo sowmya
Sowmya,Antha long kadhu amma
SINHA,Highlight aaslu eedhi
Sowmya,Onak one week or 10 days ala
Sowmya,😒
SINHA,Manalo manaki enduku Sowmya eevi... Nrml ga vundu
SINHA,Ame ayyindhi ani ippudu
Sowmya,Em kaledhu ane
SINHA,Nenu recha godithey matram rechipotava enti
Sowmya,Edokati avvali kadhaa😂🤣
Sowmya,Andhuke
Sowmya,Haa avuthanu ga
SINHA,Avvaku le... Nenu saradaga anta amaina
SINHA,Nv alaaney teesuko
Sowmya,Adhi avvadhamma
SINHA,Sare annanu le ithy
Sowmya,Hmmmmmmm
SINHA,Haaaaaaaaa
Sowmya,Nidhra vasthundha enti😂
SINHA,Leydhu work vundhi complete cheyali
Sowmya,🤦‍♀️
Sowmya,Adhi joke sinha 😬
Sowmya,Cheppana...naa antha humor  vuntene matladatha ani
SINHA,Abbo...
Sowmya,🤣
SINHA,Sare sarele
Sowmya,Haa sarele
SINHA,Ha
Sowmya,Idhi mathramm..... unexpected asalu🙌🙌
SINHA,Eedhi reality sowmya
SINHA,Cheppaga saradaga Anna ani
Sowmya,Adhelee
Sowmya,Sarada Aina ela aaa alochana vachindhaa ani
SINHA,Ha... 😅
SINHA,Hey kadhu kadhu
SINHA,Nv ala react avutav ane telisey anna
SINHA,But secon emoji nijanga unexpected... 😅
Sowmya,Abbaa.....chee aithe nenu sare analsindhi🤦‍♀️
Sowmya,Sarele sarelee
Sowmya,Nenu em edavanu
SINHA,Ha
Sowmya,Dinesh vunnada
Sowmya,Mee hostel lone
SINHA,Leydhu intiki velladu
Sowmya,Aa abbai ki nenu reels share cheyaka poye sariki maaku conversation a ledhu
Sowmya,Ohoo
Sowmya,Nv aditya me anamata vundhi
SINHA,??
Sowmya,Intiki vellakunda
Sowmya,Nv anu
SINHA,Ha avunu
Sowmya,Aditya ne na
Sowmya,Hamayya
Sowmya,Ardham aindha
Sowmya,Eppudu velthav
SINHA,Ha ha ardam ayyindhi
SINHA,After Christmas
Sowmya,Arare...
Sowmya,Last year kooda anthe
SINHA,Hmm
Sowmya,Hmm kadhu Haa anali😅
SINHA,Appudu direct new year ki vella
Sowmya,Ippudu?
SINHA,Eesari Christmas ki velta
Sowmya,Indirect aa
Sowmya,Avuna
Sowmya,After Christmas annav?
SINHA,Semi Christmas
Sowmya,👏👏
Sowmya,Exams aithe
SINHA,2 nd nunchi antunaru
Sowmya,Ala anamaku Sowmya ani antava
Sowmya,Abbooo
SINHA,Hmm
Sowmya,Ala aithe baga chaduvukovachu le
SINHA,Avunu
Sowmya,Aithe nenu Jan 2nd ne clg ki vachedhi😅
SINHA,Sare sare choodam
SINHA,Amaina matladu sinha ani cheppu baney time aipoyindhi
Sowmya,🤦‍♀️
Sowmya,Emanna mandatory aithene vastha
SINHA,10 ki padukovalsina danivi
SINHA,11 aipoyindhi
Sowmya,🤣🤣🤣🤣
Sowmya,Adhe kadha naku kavalsindhi
Sowmya,Ha....paeledhule
SINHA,Vellehe
SINHA,Vellu paduko inkaa
Sowmya,Enti
SINHA,Parleydhu anta
Sowmya,Time a ayipovatla
Sowmya,Inka 11 a
SINHA,Hmm avunu le
Sowmya,Le enti chivarana
Sowmya,Entoo
Sowmya,Cheppaka cheppaka chepthunnatlu
SINHA,Ayyo ala ame kadhu le somwya
Sowmya,Alane le sowmya
Sowmya,Sare sinha....
Sowmya,Velthunna mari
SINHA,Ok sowmyaa
SINHA,Paduko
Sowmya,Advance Happy Christmas
Sowmya,Jan 2nd na kaludham le
SINHA,Haha.... Same to u
SINHA,Hmm ok
Sowmya,Inka appati matladanu ani ardham sinha🤦‍♀️
Sowmya,Chee Anni nene cheppukovalsi vasthundhi enti
SINHA,Matladava...?
SINHA,Sare choodam le... 😅
Sowmya,Sare chooduuuuuu
Sowmya,Christmas ki anu new year ki msg chestha
Sowmya,Inka anthe
Sowmya,Adhi kooda only one msg
SINHA,Ok ok .... 😅
Sowmya,Y laughing
SINHA,Ntg ntg
Sowmya,Nammava
SINHA,Namuta namuta
Sowmya,Ento
SINHA,Hmm paduko inkaa
Sowmya,Sare sir
Sowmya,Haa wait inkoka 5 min vundu
Sowmya,Indhaka..maa mother ee roju leru
SINHA,Hmm
Sowmya,Panulu nene cheyali😐
Sowmya,Curry kooda🤣
SINHA,Oh
Sowmya,Nenu edho pani chesthoo
Sowmya,Neeku cheppanu choodu
SINHA,Nv cheysavaa?
Sowmya,Dream
SINHA,Haa
Sowmya,Adhi  gurthuchesukuntunna
Sowmya,Yeah
SINHA,Baga vachinda
Sowmya,Dance topic kadha neeku cheppindhi
Sowmya,Inka choodu nenu maamulga navvukola
Sowmya,Haa bane vundhi
SINHA,Haha . ... 😅
Sowmya,Adhi comedy
Sowmya,Eppudooo thappani sari appudu YouTube lo choosi chestha 🤣
Sowmya,Beans curry chesindhi
Sowmya,Alavatu leka manchivi kinda vesi..aa pechuli bowl lo vesa asalu abboo🤣
SINHA,😂😂
Sowmya,Nenu curry chesetappudu
Sowmya,Modification chesthee
SINHA,Hmm
Sowmya,Meere chesukondi ani nenu vellipotha
Sowmya,Antha kopam naku
Sowmya,Evarini ranivvani kitchen lo ki
Sowmya,Andharu bhale vastharu aa time kee
Sowmya,Endhuku visigistharu ani anta
Sowmya,Naa notiki vache padham
Sowmya,Visiginchamaku ani
Sowmya,Indhaka aithe kopam vachi
SINHA,Haa
Sowmya,Abba...asalu andharu visiginche Valle ani anna
Sowmya,Maa father silent ga sarele ani bayatiki vellaru🤣
SINHA,Ayyo avuna .... 😅
Sowmya,Curries mathram maa father daggara konni konni nerchukunta
Sowmya,Kani..gurthundav naku next time cheyadaniki
Sowmya,Haa
Sowmya,Ledante
Sowmya,Vachi
Sowmya,Edokati chesthary
Sowmya,Nenu chese karri lo
Sowmya,Vere vallu emanna chesthee
SINHA,Hmm
Sowmya,Inka anthe
SINHA,Ok ok
Sowmya,null
Sowmya,Idhi prawns curry maa father cheptha vunnaru 
Sowmya,Kani process marchipoya kooda
SINHA,Ha
SINHA,Mari ela cheysav
Sowmya,Maa father cheptharu ga
SINHA,Okk
SINHA,Nv cheysava
Sowmya,Ha
SINHA,Bagundhi
Sowmya,<Media omitted>
SINHA,Nijanga chudadaniki bagundhi
Sowmya,Neetho chat chetshaa em chesano🤣🤣
Sowmya,Taste kooda bane vundhi le
SINHA,Kishore mee Anaya?
Sowmya,Father
SINHA,Ok
Sowmya,Maa anna garu- vamsi
SINHA,Okk
Sowmya,Saree
Sowmya,Padukunta le😂
SINHA,Naku namakam leydhu
SINHA,Kani atleast try chei
Sowmya,Asalu repu rahul neetho church ki vastha annadu
SINHA,Padukodaniki
Sowmya,Kani intiki vellipoyadu
SINHA,Avuna Naku kuda cheppale vadu
Sowmya,Neetho chat chesaka Inka padukunta sinha
Sowmya,Neeku bye cheppanu ante
Sowmya,Inka next padukunta
SINHA,Sare mari
Sowmya,Nene cheppa vellamani
SINHA,Naku work vunndhi
Sowmya,Try chestha annadu
SINHA,Okk
SINHA,Nyc sowmyaa
Sowmya,Neeku eppduu ledhu cheppu
SINHA,Pampinchu nv inaa
Sowmya,Anyways thank you
Sowmya,Thamari time ki
Sowmya,Haaa
SINHA,Abbo....
SINHA,Sare sare
SINHA,Jan 2nd gurtupetuko
Sowmya,😐 okk
Sowmya,Asalu marchipoyanu
SINHA,Chusta nenu kuda
Sowmya,Gurthuchesinandhuku aina
Sowmya,Msg cheyanu
SINHA,Sare chusta chusta
Sowmya,Ok...then
Sowmya,Bye bye bye
SINHA,Good night sowmyaa
SINHA,Amaina steps nachitey dance veysi paduko
Sowmya,Vadhulee
SINHA,🤭
SINHA,Ok
Sowmya,Eee....
SINHA,😅😅
SINHA,5 mins vundaleyka poyav
SINHA,Jan 2nd anta
Sowmya,Abba...
SINHA,Advance happy Christmas.... 😂
Sowmya,Nve kadha
Sowmya,Matladav
SINHA,Advance happy new year anta.... 😅
SINHA,Nenu matladanu ani ekkada cheppaleydhey
Sowmya,Naku thelidhu ga mari
Sowmya,Sare andi mari
SINHA,Ha sare sare
